date,value
2004-02-22,1288
2016-09-08,1204
2010-10-26,1309
2000-02-03,341
2008-07-21,514
2021-08-06,300
2013-11-19,480
2015-12-14,1104
2013-09-21,1746
2016-11-29,1096
2021-07-05,507
2013-06-29,1141
2002-11-10,1179
2009-07-23,51
2007-01-08,1402
2020-04-15,1054
2015-06-14,388
2004-08-27,1624
2000-12-12,1756
2005-01-17,1695
2013-01-21,646
2005-01-16,958
2010-07-24,34
2009-09-16,345
2017-04-13,1817
2004-10-09,567
2017-09-10,1180
2005-12-18,176
2003-05-20,827
2001-08-19,556
2011-03-28,784
2008-08-10,1983
2008-11-05,550
2006-08-30,940
2005-08-06,1399
2007-07-24,407
2008-07-22,1374
2003-08-03,468
2011-02-05,1495
2002-03-15,953
2008-11-02,680
2012-09-26,683
2005-02-04,1007
2020-11-05,353
2018-10-06,1571
2006-01-26,1445
2018-06-24,540
2005-10-03,1675
2002-01-05,1357
2005-10-07,228
2007-06-07,1467
2017-11-20,1029
2006-01-20,1830
2005-08-31,73
2018-03-29,1033
2012-01-02,656
2012-01-03,1173
2003-01-20,1651
2020-09-08,632
2014-04-19,1212
2013-09-14,1282
1999-06-05,313
2006-08-18,413
2016-03-17,1064
2009-10-01,150
2004-04-26,1637
2016-07-26,684
2003-01-18,467
2018-03-19,1781
2021-07-30,1672
2000-03-11,1525
2001-09-29,976
2008-12-18,2000
2002-01-09,288
2007-07-30,806
2019-03-21,127
2002-03-02,431
2006-04-26,1969
2015-05-27,1310
2006-03-27,1145
2016-12-20,1355
2011-02-13,265
2000-04-14,462
2020-06-14,298
2007-10-12,355
2021-11-27,555
2021-04-23,1727
2015-07-08,223
2016-03-21,1004
2016-04-11,359
2011-08-16,644
2000-04-15,509
2020-02-06,1856
2003-07-14,1789
2010-07-01,1311
2004-09-29,1872
2005-10-04,1192
2010-02-20,723
2017-03-17,1852
2021-03-11,1954
2011-07-15,1951
2018-06-13,212
2017-12-12,280
1999-11-07,593
2021-12-05,1186
2010-08-30,1540
2013-02-06,643
2002-10-17,325
2014-02-06,1574
2003-12-09,1461
1999-10-08,390
2011-09-23,1272
2021-02-24,1894
2010-06-15,1306
2006-07-18,649
2000-06-05,999
1999-08-19,354
2003-06-16,672
2021-06-22,1434
1999-11-06,237
2001-12-30,1664
2017-11-15,1908
2006-10-27,1635
2015-05-23,219
2018-05-02,831
2012-10-28,971
2001-05-10,1591
1999-09-30,1696
2016-03-14,696
2011-02-22,1909
2014-03-01,370
2001-06-20,184
2019-09-28,464
2016-03-07,1147
2017-08-03,1268
2006-11-06,429
2011-01-25,1316
2019-12-28,1105
2001-01-11,244
2003-01-16,1654
2002-10-12,362
2019-02-10,1425
2005-05-29,1846
2020-07-02,1519
2013-03-06,591
2014-05-09,352
2019-01-04,794
2011-07-14,1706
2015-02-17,713
2008-11-13,609
1999-11-15,764
2016-08-15,1721
2011-04-02,1542
2005-12-26,31
2018-10-16,1552
2007-03-12,371
2006-10-21,1953
1999-08-02,1661
2001-09-14,1806
2016-09-26,266
2005-06-05,1532
2016-08-05,1271
2011-10-21,55
2011-10-18,581
2020-08-10,470
2018-09-15,1353
2007-04-27,158
2012-05-10,333
2017-11-07,412
2021-08-26,785
1999-09-23,1802
2009-03-31,1916
2000-10-05,342
2012-10-11,1400
2010-01-08,430
2008-06-26,1702
2019-01-14,379
2006-06-07,428
2019-05-12,783
2003-10-30,1014
2012-03-28,215
2012-11-29,1281
2018-10-13,826
2015-01-17,85
2015-08-21,907
2019-05-23,957
2020-03-26,769
2009-09-17,1990
2017-02-06,1823
2009-04-27,1764
2004-10-12,1254
2002-03-26,287
2021-06-15,65
2011-05-05,225
2020-08-07,1327
2001-12-23,1216
2020-03-12,399
2020-02-26,1354
2002-12-12,698
2019-05-25,917
2020-08-25,1323
2014-12-09,562
2004-05-17,1782
2016-05-14,951
2017-07-09,730
2019-09-07,1131
2009-02-22,1163
2011-03-09,956
2003-05-28,1401
2006-12-06,598
2014-11-07,363
2007-03-14,466
2020-05-16,564
2004-02-06,1028
2014-12-06,1669
2006-11-02,714
2006-09-04,1126
2015-05-25,1219
2000-06-04,747
2008-02-26,1395
2000-12-20,676
2004-02-28,1684
2002-01-03,303
2021-11-09,1999
2000-11-14,1543
2005-05-24,162
2016-01-03,1428
2021-04-06,401
2001-08-23,1485
2004-10-28,257
1999-12-25,763
2008-09-04,1682
2003-02-05,1183
2018-07-26,1575
2002-06-16,508
2001-03-16,1112
2021-01-31,1300
2015-08-20,1511
2020-07-30,187
2015-06-17,726
2015-11-14,311
2007-02-24,1647
2017-12-18,332
2000-01-09,276
2003-04-21,830
2010-11-07,178
2016-12-25,1991
2008-04-25,1800
2008-01-17,1440
2005-08-09,1506
2011-12-01,1912
2002-12-05,742
2004-05-06,1769
2002-07-16,1174
2021-03-10,68
2001-12-28,1895
2002-02-23,296
2016-05-25,1013
2021-06-27,1047
2011-06-15,132
2016-04-21,1175
2004-07-29,1558
2013-06-15,1568
2019-12-04,1022
2019-07-05,418
2021-01-11,1078
2017-11-16,1278
2017-04-03,1337
2021-12-26,63
2009-12-29,1491
2004-01-05,1865
2005-09-18,1020
2020-12-03,1087
2017-08-22,503
2014-02-03,1381
2006-04-16,458
2004-01-21,1388
2003-04-09,1123
2006-07-20,1710
2004-12-27,637
2019-04-27,1608
2008-06-14,1231
2000-10-17,226
2009-01-08,616
2004-10-24,103
2005-04-01,1705
2007-01-14,932
2006-08-19,1875
2011-06-12,631
2011-11-06,772
2004-05-22,1241
2018-09-16,1038
2002-12-07,1264
2005-01-25,1347
2021-11-16,1101
2003-08-12,1313
2018-08-22,865
2016-02-28,1784
2009-05-09,748
2021-01-18,1482
2011-01-21,1127
2009-02-26,457
2018-07-24,502
2016-06-02,727
2008-06-19,1515
1999-12-15,955
2013-09-03,1291
2011-05-06,1653
2018-12-21,1826
2003-02-18,452
2014-10-10,1583
2001-09-06,1810
2020-10-15,775
2013-06-23,1680
2014-10-23,560
2006-08-02,1762
2011-08-31,1315
2017-09-02,1657
2013-12-26,1304
2016-09-16,445
2021-01-10,720
2017-05-05,45
2011-07-26,268
2015-03-13,1642
2001-03-07,1957
2004-10-29,1081
2006-09-15,323
2017-11-18,1618
2020-04-23,1094
2005-09-10,850
2013-05-17,118
2013-12-18,361
2002-07-28,681
2010-11-18,868
2012-06-16,490
2004-12-18,52
2018-10-26,1006
2014-08-04,1024
2006-09-07,1902
2001-02-12,1663
2010-07-27,393
2021-07-15,770
2009-01-16,22
2001-03-29,381
2004-06-07,885
2020-11-10,894
2002-06-25,765
2003-12-08,16
2005-07-01,1920
2020-01-29,1859
2006-03-10,777
2002-03-04,673
2017-02-21,427
2019-07-10,1005
2000-03-18,758
2013-05-19,1202
2008-07-11,912
2017-08-14,1049
2014-08-08,440
2005-05-09,1665
2020-07-26,1526
2002-09-14,1026
2001-05-05,1758
2011-01-20,1199
2000-09-24,1641
2005-12-31,1950
2001-06-15,1787
2015-01-03,1828
2019-06-06,229
2004-04-09,494
2010-01-06,1463
2013-12-14,356
2012-11-11,1119
2015-02-05,697
2011-08-11,707
2020-09-13,437
2010-10-10,1816
2000-04-30,227
1999-07-22,512
2006-03-06,921
2020-06-05,114
2007-12-23,335
2004-08-18,1995
2014-11-03,489
2015-02-21,606
2003-09-29,49
2014-08-19,1845
2006-09-18,24
2005-05-18,1831
2008-04-21,377
2000-08-14,1246
2008-09-22,1839
2018-08-13,426
2014-09-26,1043
2009-09-02,1544
2002-10-05,1113
2012-04-01,1523
2018-11-02,109
2013-10-22,1144
2014-07-14,1871
2009-07-10,245
2013-03-29,1676
1999-03-27,1589
2013-11-27,728
2010-06-13,515
2019-10-09,495
2013-04-03,529
2014-01-08,145
2016-02-25,1329
2013-11-10,978
2007-06-10,1050
2010-01-02,877
2021-06-08,1378
2021-05-30,104
2015-05-02,1380
2002-09-21,242
2018-09-09,403
2015-03-11,1486
2008-10-21,235
2014-07-27,1203
1999-07-07,1299
2002-10-28,1480
2016-02-15,1274
2003-05-08,1911
2004-07-14,394
2007-03-26,205
2012-11-28,102
2002-06-05,964
2019-10-27,93
2020-11-12,404
2003-01-05,1404
2016-11-17,1061
2015-06-24,141
2014-12-12,91
2012-11-19,198
2017-04-16,910
2015-04-09,848
2010-09-12,692
2011-05-01,580
2010-02-11,473
2012-01-27,671
2007-10-09,378
2011-09-26,328
2009-04-04,274
2016-01-14,1740
2007-11-13,1797
2021-03-13,1606
2014-09-08,450
2002-09-23,1609
2017-02-27,670
2020-04-14,1364
2021-06-13,729
1999-06-30,1949
2016-09-11,1258
2000-10-02,929
2008-02-07,250
2011-08-07,441
2020-04-18,23
2009-07-05,809
2004-03-08,324
2003-09-28,374
2005-03-02,876
2016-08-18,277
2001-10-23,70
1999-02-09,1732
2012-01-29,588
2020-08-06,690
2002-01-29,1775
2015-09-03,433
2017-05-13,701
2006-01-02,1510
2017-12-29,1798
2010-01-09,1076
2004-01-23,1977
2019-05-27,454
2000-05-14,291
2014-07-03,925
2009-03-07,1371
2002-10-30,1508
2014-02-22,1328
2004-09-05,2
2002-02-20,941
2015-11-26,83
2020-12-10,735
2012-01-21,1671
2013-03-22,1223
2019-04-07,1935
2004-01-04,1143
2010-11-12,1713
2014-11-11,854
1999-06-07,1516
2015-08-17,304
2014-09-02,840
1999-09-03,913
2008-10-18,1477
2009-12-13,525
2004-01-03,1214
2000-06-21,1725
2010-11-06,716
2008-07-12,779
2010-10-09,1602
1999-03-14,1724
2004-03-09,1093
2018-08-09,423
2007-10-02,135
2010-01-14,1102
2012-05-09,756
2011-10-24,419
2014-10-16,1215
2019-10-04,1251
2003-08-24,1110
2014-12-23,1587
1999-01-09,1715
2003-07-28,1736
2005-09-22,1910
2001-03-25,633
2011-07-24,410
2011-09-01,1128
2018-11-24,174
2014-01-22,4
2005-03-17,82
2010-11-27,1553
2019-02-24,1640
2014-12-01,1722
2001-03-12,1834
2004-10-03,541
2018-07-07,815
2003-07-30,1659
2020-12-22,839
2009-03-17,1620
2003-04-13,1585
2021-12-08,1362
2013-09-13,789
2004-05-12,1854
2002-10-22,1242
2010-11-25,858
2000-12-09,204
2018-08-15,395
2013-04-17,1164
2016-07-20,1286
2010-12-19,88
2006-09-24,539
2014-04-30,224
2018-09-19,1130
2013-08-11,1596
2017-07-21,396
2010-03-30,1733
2000-02-06,667
2015-04-24,1262
2020-01-24,822
2021-10-19,248
2021-03-21,1044
2007-05-06,346
2010-07-21,903
1999-05-14,906
2015-07-26,498
2001-06-01,81
2015-06-12,1377
2006-10-18,1167
2015-05-10,575
2008-10-17,1876
2016-03-03,1213
2018-01-17,1010
2021-07-13,1224
2006-11-12,1613
2014-10-22,1165
2005-12-25,1290
2015-02-04,416
2000-02-28,706
2019-09-13,992
2002-06-26,710
2006-09-09,1527
2017-04-18,737
2010-07-19,546
2005-12-07,862
2002-10-18,1133
2007-01-02,1057
2007-10-23,918
2011-08-26,1471
2020-06-17,686
2006-12-26,1501
1999-04-07,89
2003-05-30,997
2018-09-02,264
2017-01-15,573
2008-04-27,510
2020-11-30,1822
2018-02-01,1807
2004-06-27,62
2010-10-17,767
2000-08-31,1037
2014-07-12,10
2014-01-12,213
2005-08-22,302
2002-10-20,721
2005-08-14,668
2006-05-24,1749
2000-08-22,358
2016-03-20,1726
2002-03-17,738
2009-09-27,259
2005-01-15,1177
2002-04-27,1998
2016-05-17,1556
2008-09-01,1603
2011-04-05,937
1999-12-20,543
2012-01-25,1468
2005-04-09,708
2013-01-05,1617
2018-09-10,909
2005-08-07,218
2017-11-14,1415
2018-07-03,1812
2010-08-08,425
2008-09-17,1586
2017-09-11,1472
2014-11-27,834
2009-03-19,1124
2012-01-10,601
2000-04-24,678
2005-02-27,47
2004-12-20,397
2012-09-12,447
1999-06-09,1541
2006-08-10,1612
2016-04-13,558
2003-11-02,1103
2012-08-11,1421
2001-11-28,1623
2003-07-27,620
2009-05-13,1107
2011-11-02,1150
2016-12-08,1907
1999-08-17,1460
2011-03-13,446
1999-11-22,1707
2015-03-26,1284
2003-07-15,1136
2000-09-11,1053
2011-06-27,689
2019-04-04,993
2017-10-06,1342
2010-02-17,270
2002-09-27,365
2001-12-07,1554
2012-06-08,576
2013-01-14,687
2003-04-20,796
2009-02-12,279
2004-07-01,808
2009-06-06,1849
2021-07-01,734
1999-02-15,1
2001-01-08,179
2006-06-28,1083
2001-07-07,1138
2013-04-14,1741
2020-09-22,1012
1999-01-25,1744
2006-11-09,679
2003-12-14,1233
2011-03-04,700
2003-01-09,654
2021-08-07,1035
1999-05-24,548
2021-08-23,702
2016-05-19,1931
2016-11-08,152
2006-12-14,1072
2021-09-27,801
2007-03-30,1579
2013-12-03,273
1999-10-18,1011
2005-09-13,1414
2010-04-08,682
2006-07-13,1974
2020-01-01,1980
2018-11-04,1561
2003-01-28,1060
2003-11-05,1996
2020-04-12,1042
2006-05-05,1690
2016-08-29,451
2020-12-19,247
2020-06-29,1766
2000-12-13,1383
2013-05-25,1840
2013-02-11,1497
2014-01-18,1148
2013-11-20,506
2003-04-06,856
2010-05-11,453
2004-03-31,1335
2000-08-13,863
2015-06-20,292
2008-04-28,474
2011-12-13,181
2012-08-14,1549
2019-10-31,895
2007-09-03,824
2002-05-17,623
2000-10-09,544
2010-09-26,1551
2018-10-03,653
2017-04-29,1773
1999-09-08,614
2011-02-23,615
2020-02-16,360
2013-07-27,934
1999-09-12,1594
2003-11-03,1699
2020-06-09,1978
2013-12-08,294
2006-07-07,732
2017-06-06,1218
2020-06-18,1678
2011-04-26,1795
2002-07-27,1714
2018-07-15,1880
2007-01-13,1627
2014-06-29,1090
2004-01-24,252
2000-04-05,1455
2018-07-12,1036
2006-08-07,1853
2012-05-23,1499
2003-02-08,829
2020-10-24,1169
2001-12-21,1502
2010-08-23,1513
2009-02-07,267
2012-10-22,30
2003-08-04,75
2001-09-03,1062
2020-10-08,1820
2010-02-01,436
2003-12-11,1295
2011-04-21,372
2016-09-10,547
2003-03-19,1235
2020-11-19,1198
2021-03-22,1132
2017-11-23,1238
2000-02-25,977
2003-08-11,1940
2020-08-28,800
2006-02-10,115
2007-06-16,1369
2020-02-15,1391
2018-04-11,1350
2006-10-30,78
2020-03-15,272
2018-11-29,583
2003-03-27,709
2003-12-13,1896
2015-01-14,1643
2001-02-14,1625
2017-09-27,1674
2003-03-08,586
1999-09-27,501
2013-06-20,1966
2021-09-22,148
2015-03-22,263
2014-01-16,1545
2019-04-03,528
2013-01-19,122
2003-02-25,893
2007-02-12,1382
2003-09-04,1611
2013-11-05,1156
2019-07-22,1292
2011-11-25,1521
2020-08-09,901
2016-12-03,551
2006-04-14,553
2009-10-23,1768
2016-08-25,1454
2021-06-06,771
2006-01-01,42
2020-04-09,1560
2002-08-06,57
2014-10-12,448
2021-05-18,1252
2011-06-18,327
2002-12-06,975
2021-09-16,1375
2013-07-15,1963
2001-09-01,1928
2021-08-28,677
1999-04-23,1889
2012-09-19,1882
2001-06-04,9
2018-12-16,874
2016-01-29,1343
2018-03-06,391
2007-02-19,1427
2014-03-08,1021
2020-03-08,1155
2002-12-23,119
2017-06-14,1181
2020-05-06,1925
2020-02-02,669
2005-02-17,500
2006-04-04,753
2018-12-27,1154
2008-11-17,1650
2010-07-16,486
2004-07-03,1546
2013-02-10,590
2019-10-02,1255
2015-01-13,1115
2005-07-14,1303
2001-01-25,316
2002-10-23,402
2003-06-26,1390
2012-02-13,936
2002-08-20,795
2016-08-12,568
2008-07-19,1658
2002-11-29,1442
2019-04-15,157
2011-12-19,1681
2019-02-15,1475
2016-03-28,43
2013-03-30,866
2021-04-18,17
2020-07-13,1405
2011-10-27,1964
2018-10-07,1861
2012-10-23,1187
1999-11-18,183
2009-07-18,1188
2016-02-18,420
2009-01-29,1698
2009-11-27,1679
2017-06-02,1098
2000-02-17,597
2008-01-06,1301
2004-02-15,72
2002-04-07,307
2013-05-22,1533
2010-10-15,1063
2011-05-22,1829
2012-10-14,1961
2019-11-23,1079
2006-08-12,293
2013-01-30,1140
2003-05-31,1986
2015-02-19,968
2005-04-10,1570
2008-09-14,1277
2018-06-10,752
2006-12-20,3
2005-05-31,703
2013-08-21,915
2001-02-04,123
2004-09-16,234
2002-07-31,289
1999-02-17,924
2010-04-23,899
2002-07-07,1340
2006-06-02,1850
2002-06-21,1411
2017-10-09,1785
2019-08-23,153
2020-06-13,128
2013-12-06,1239
2008-02-14,1685
2002-11-03,1157
2002-11-01,1308
2009-10-09,933
2020-09-10,1025
2012-08-24,773
2018-12-09,1868
1999-11-26,1792
2007-11-11,949
2010-12-30,1900
2014-02-12,1257
2004-04-16,1071
2004-07-07,216
1999-12-18,1206
2008-02-13,1447
2007-10-11,617
2007-04-26,605
2020-01-10,835
2016-04-09,1730
2010-07-13,944
2007-07-11,812
2018-09-21,254
2012-12-22,1670
2001-03-10,1077
2018-09-08,334
2012-01-20,797
2004-05-23,1994
2003-07-16,1368
2000-02-29,1114
2014-01-06,1256
2013-12-01,1134
2003-12-12,1234
2019-01-06,66
2014-02-25,717
2009-08-11,1406
2009-12-30,630
2018-06-18,56
2019-11-16,1777
2012-02-07,261
2004-09-30,1151
2017-05-25,1503
2006-09-14,880
2003-11-26,538
2006-04-10,1605
2010-12-25,655
2006-08-11,1182
2004-03-27,189
1999-06-17,931
1999-09-17,1222
2000-02-19,1631
2007-08-23,836
2018-09-18,823
2003-12-29,1365
2017-03-02,1431
2002-04-08,664
2010-09-07,1207
2004-09-07,1379
2011-01-10,1847
2006-09-16,1689
2005-04-25,636
2007-12-02,985
2021-06-29,520
2006-04-23,317
2002-03-13,1683
2005-06-06,1009
2004-02-23,415
2012-01-11,1073
2006-11-14,1952
2020-12-16,577
1999-11-17,1243
2017-09-13,1030
2013-05-14,878
2018-08-20,105
2012-02-11,13
2021-10-14,1604
2015-12-11,1709
2010-09-21,1734
2014-06-22,536
2004-12-04,1325
2018-08-01,1217
2008-12-10,1711
2001-04-04,1776
2007-01-05,1728
2014-08-28,1601
2012-10-03,1843
2006-07-04,1086
2021-05-16,1717
1999-10-21,1955
2004-04-21,1305
2018-05-27,1226
2006-09-30,674
2001-04-03,124
2000-11-30,253
2016-03-01,1493
2001-10-14,642
2005-02-18,1841
2016-03-11,472
2020-11-21,1956
2017-09-04,739
2008-12-12,1719
2018-04-10,144
2019-12-01,1811
2009-10-11,645
2009-06-24,1019
2010-06-18,1195
2007-04-24,1615
2013-03-12,255
2018-11-20,1897
2015-07-30,561
2011-06-03,853
2012-03-23,987
2001-12-05,722
2013-04-12,517
2002-08-07,1520
2008-10-09,1958
2018-11-07,1273
2018-10-11,1607
2006-12-25,998
2015-11-22,521
2013-03-21,844
2015-09-09,962
2020-05-10,736
2021-12-13,819
2015-07-16,1903
2009-11-29,1778
2007-07-23,1832
2021-09-12,110
2008-04-15,21
2006-04-20,1512
2017-01-08,766
2003-12-02,1432
2002-08-08,1314
2005-03-21,768
2015-06-08,1464
2006-10-02,1576
2007-10-24,1863
1999-12-24,1248
2002-09-01,326
2012-10-13,231
2005-02-25,1555
2018-10-24,260
2020-06-10,188
2021-09-25,1944
2013-07-04,348
2021-01-24,533
2010-11-13,1915
2007-05-14,116
2004-10-04,554
2003-06-29,408
2006-03-15,1855
2010-03-08,444
2000-02-24,1633
2017-12-31,278
2004-05-13,1982
2016-01-25,382
2011-09-13,1051
2021-04-05,1621
2009-08-25,29
2002-04-10,1838
2007-12-29,1055
2016-03-05,1763
2008-02-20,1208
2001-06-05,314
2011-03-14,1017
2004-08-19,347
2004-08-12,1408
2002-09-20,1656
2021-04-09,1918
2002-01-13,855
2015-04-20,602
2012-07-21,939
2011-01-09,1581
2013-04-27,1168
2017-10-20,1567
2008-11-03,1139
2016-04-24,1398
2019-01-19,1619
2014-11-20,1142
2001-05-01,1125
2004-07-16,1584
2011-11-13,1149
2004-04-19,1833
2008-03-10,1116
2009-07-24,611
2020-11-23,166
2006-05-11,38
2011-09-08,180
2017-06-07,284
2009-09-11,27
2016-06-17,1348
2019-06-23,398
2021-11-25,919
2019-01-25,1557
2012-01-13,168
2014-03-21,1170
2018-06-14,870
2003-10-04,780
2018-12-04,1356
2000-02-16,1673
2014-04-04,505
2019-07-13,71
2012-02-27,1922
2015-11-28,661
2012-09-24,456
2005-09-04,582
2001-11-10,1490
1999-06-20,1034
1999-01-03,295
2007-12-20,1548
2002-04-02,1748
2009-12-28,881
2003-03-09,383
2020-07-16,1483
2021-06-07,1194
2015-09-19,1228
2004-12-16,202
2007-03-24,1813
2003-02-21,1106
2012-06-17,942
2000-03-15,902
2011-01-02,660
2003-10-20,1599
2010-01-10,108
2009-12-23,790
2008-03-16,762
20080217,206
2019-01-28,1333
2015-04-28,37
2009-04-12,557
2014-08-18,1363
2004-08-16,5
2003-04-19,1045
2012-04-14,545
1999-02-11,948
1999-06-16,820
2007-01-04,142
2012-01-18,1413
2017-11-21,1360
2014-03-06,845
2011-05-27,197
2013-08-30,1780
2008-05-18,196
1999-04-18,186
2007-08-16,364
2018-11-12,1844
2016-07-18,492
1999-06-29,675
2003-10-23,400
2003-09-03,488
2010-01-11,1001
2006-01-03,1973
2021-01-12,695
2019-08-29,1786
2000-02-07,1159
2015-12-09,799
2011-02-14,759
2021-03-03,1888
2009-02-18,95
2000-02-23,434
1999-09-28,869
2021-03-19,798
2005-06-23,599
2015-08-12,1069
1999-12-03,461
2010-11-10,1971
2010-01-03,1842
2002-04-21,84
2012-01-31,1708
2015-04-18,101
2019-02-06,1367
2002-01-06,405
2009-04-23,1426
2006-12-18,923
1999-12-30,888
2003-03-28,1296
2005-07-22,1220
2003-10-31,1945
2004-10-15,19
2010-11-16,705
2008-06-02,537
2009-02-03,59
2017-11-02,481
2019-07-27,209
2014-07-06,882
2002-01-01,1211
2021-10-30,651
1999-06-01,1666
2004-08-29,389
2020-07-29,837
2004-05-02,1111
2018-05-09,1535
2018-03-26,1283
2003-06-14,629
2021-10-09,1588
2001-08-18,169
2009-05-15,41
2015-05-19,1597
2010-06-17,1459
2009-12-22,349
2005-10-17,232
2017-05-30,1590
2021-04-04,1068
2021-11-13,1191
2013-09-16,1923
2009-10-29,1263
2008-05-05,185
2008-01-18,896
2012-12-01,1084
2006-09-29,411
2000-11-13,1294
2010-02-15,182
2009-12-03,409
2012-10-19,1041
2021-11-18,983
2001-05-09,1917
2001-07-30,585
2015-01-08,1496
2021-04-24,1824
2007-05-04,1870
2014-11-17,788
2004-11-22,1172
2018-08-24,1469
2021-02-14,1002
2008-10-04,859
2016-05-04,1739
2009-01-23,1938
2004-06-12,384
2007-12-03,1269
2005-06-28,635
2020-10-09,647
2009-03-18,600
2011-10-29,1809
2020-03-25,1008
2007-06-14,6
2014-01-24,282
2002-06-13,1166
2001-10-12,694
2006-04-30,1745
2007-11-21,1660
2014-11-26,1321
2017-07-22,828
2009-06-04,483
2006-07-03,1668
2015-05-09,493
2017-03-09,1498
2012-08-17,935
2018-05-15,816
2013-08-24,961
2016-05-13,299
2017-03-29,1759
2020-11-17,754
2012-05-05,1462
2003-11-15,559
2014-10-03,1930
2016-05-22,776
2005-12-27,476
2005-01-05,281
2009-11-08,1803
2020-01-30,1352
2010-08-18,592
2015-02-20,1018
2014-06-26,1943
2000-03-21,846
2001-05-07,283
2018-10-20,810
2002-08-18,499
1999-10-15,1280
2012-11-20,146
2002-10-03,625
2015-05-31,1397
2013-08-05,1474
2007-11-22,621
